"","KLCODE","DATE","source","REGIO","SUBREGIO","AGE","SEX","PM","MASS","BILL","WING","TOTHD","TARS","TATO","MONTH","jdate","SS"
"23491","Y1YYRR",2014-04-10,"OBS","WW","GR",NA,"M",NA,NA,NA,NA,NA,NA,NA,4,100,"Lap"
"23492","Y1YWRY",2014-04-10,"OBS","WW","GR",NA,"M",NA,NA,NA,NA,NA,NA,NA,4,100,"Lap"
"23493","R6WRWB",2014-04-10,"OBS","WW","GR",NA,"M",NA,NA,NA,NA,NA,NA,NA,4,100,"Lap"
"23495","Y2BBRY",2014-04-28,"OBS","WW","TEX",NA,"M",NA,NA,NA,NA,NA,NA,NA,4,118,"Lap"
"23512","Y1YYRR",2014-04-26,"OBS","WW","TER",NA,"m",NA,NA,NA,NA,NA,NA,NA,4,116,"Lap"
"23518","R7RRWY",2014-04-26,"OBS","WW","TER",NA,"m",NA,NA,NA,NA,NA,NA,NA,4,116,"Lap"
"23546","R7WYBW",2014-04-29,"OBS","WW","TER",NA,"m",NA,NA,NA,NA,NA,NA,NA,4,119,"Lap"
"23547","Y1YYRR",2014-04-29,"OBS","WW","TER",NA,"m",NA,NA,NA,NA,NA,NA,NA,4,119,"Lap"
"23565","R7WYBW",2014-04-29,"OBS","WW","TER",NA,"m",NA,NA,NA,NA,NA,NA,NA,4,119,"Lap"
"23568","Y1YBWY",2014-04-29,"OBS","WW","TER",NA,"f",NA,NA,NA,NA,NA,NA,NA,4,119,"Lap"
"23673","L4YLRL",2014-05-05,"OBS","WW","TEX",NA,"F",NA,NA,NA,NA,NA,NA,NA,5,125,"Lap"
"23716","L4YLRL",2014-05-05,"OBS","WW","TEX",NA,"F",NA,NA,NA,NA,NA,NA,NA,5,125,"Lap"
"23755","Y1RRYR",2014-05-02,"OBS","WW","TER",NA,"m",NA,NA,NA,NA,NA,NA,NA,5,122,"Lap"
"23815","Y1YYRR",2014-05-03,"OBS","WW","TER",NA,"m",NA,NA,NA,NA,NA,NA,NA,5,123,"Lap"
"23825","R3RYWY",2014-05-03,"OBS","WW","TER",NA,"m",NA,NA,NA,NA,NA,NA,NA,5,123,"Lap"
"23832","L4RYRY",2014-05-04,"OBS","WW","TER",NA,"m",NA,NA,NA,NA,NA,NA,NA,5,124,"Lap"
"23847","R3RYWY",2014-05-05,"OBS","WW","TER",NA,"m",NA,NA,NA,NA,NA,NA,NA,5,125,"Lap"
"23849","Y5RRBW",2014-05-05,"OBS","WW","TER",NA,"m",NA,NA,NA,NA,NA,NA,NA,5,125,"Lap"
"23851","R7WYBW",2014-05-05,"OBS","WW","TER",NA,"m",NA,NA,NA,NA,NA,NA,NA,5,125,"Lap"
"23855","Y1YYRR",2014-05-05,"OBS","WW","TER",NA,"m",NA,NA,NA,NA,NA,NA,NA,5,125,"Lap"
"23856","R7WYBW",2014-05-05,"OBS","WW","TER",NA,"m",NA,NA,NA,NA,NA,NA,NA,5,125,"Lap"
"23859","R3WYBR",2014-05-05,"OBS","WW","TER",NA,"m",NA,NA,NA,NA,NA,NA,NA,5,125,"Lap"
"23937","L4YLRL",2014-05-12,"OBS","WW","TEX",NA,"F",NA,NA,NA,NA,NA,NA,NA,5,132,"Lap"
"24033","L4YLRL",2014-05-16,"OBS","WW","TEX",NA,"F",NA,NA,NA,NA,NA,NA,NA,5,136,"Lap"
"24082","R2YYRY",2014-05-19,"OBS","WW","TEX",NA,"F",NA,NA,NA,NA,NA,NA,NA,5,139,"Lap"
"24170","R2YWBR",2014-05-08,"OBS","WW","TER",NA,"f",NA,NA,NA,NA,NA,NA,NA,5,128,"Lap"
"24171","R7RRWY",2014-05-08,"OBS","WW","TER",NA,"m",NA,NA,NA,NA,NA,NA,NA,5,128,"Lap"
"24183","Y1YYRR",2014-05-09,"OBS","WW","TER",NA,"m",NA,NA,NA,NA,NA,NA,NA,5,129,"Lap"
"24193","R6WBWR",2014-05-09,"OBS","WW","TER",NA,"m",NA,NA,NA,NA,NA,NA,NA,5,129,"Lap"
"24194","R7RRWY",2014-05-09,"OBS","WW","TER",NA,"m",NA,NA,NA,NA,NA,NA,NA,5,129,"Lap"
"24207","Y3RYYR",2014-05-09,"OBS","WW","TER",NA,"m",NA,NA,NA,NA,NA,NA,NA,5,129,"Lap"
"24209","Y6YRWW",2014-05-09,"OBS","WW","TER",NA,"f",NA,NA,NA,NA,NA,NA,NA,5,129,"Lap"
"24239","R7WYBB",2014-05-13,"OBS","WW","TER",NA,"m",NA,NA,NA,NA,NA,NA,NA,5,133,"Lap"
"24242","R3RYWY",2014-05-13,"OBS","WW","TER",NA,"m",NA,NA,NA,NA,NA,NA,NA,5,133,"Lap"
"24243","Y1YYRR",2014-05-13,"OBS","WW","TER",NA,"m",NA,NA,NA,NA,NA,NA,NA,5,133,"Lap"
"24339","R6WBRB",2014-05-18,"OBS","WW","TER",NA,"m",NA,NA,NA,NA,NA,NA,NA,5,138,"Lap"
"24359","L8LYRR",2014-05-19,"OBS","WW","TER",NA,"9",NA,NA,NA,NA,NA,NA,NA,5,139,"Lap"
"24360","R6WBRB",2014-05-19,"OBS","WW","TER",NA,"m",NA,NA,NA,NA,NA,NA,NA,5,139,"Lap"
"24382","L6BBYL",2014-05-19,"OBS","WW","TER",NA,"f",NA,NA,NA,NA,NA,NA,NA,5,139,"Lap"
"24393","Y6BBBR",2014-05-19,"OBS","WW","TER",NA,"m",NA,NA,NA,NA,NA,NA,NA,5,139,"Lap"
"24572","R4WWBW",2014-05-06,"OBS","WW","TEX",NA,"9",NA,NA,NA,NA,NA,NA,NA,5,126,"Lap"
"24580","R8YBYB",2014-05-06,"OBS","WW","TEX",NA,"9",NA,NA,NA,NA,NA,NA,NA,5,126,"Lap"
"24645","Y2BBRY",2014-05-29,"OBS","WW","TEX",NA,"M",NA,NA,NA,NA,NA,NA,NA,5,149,"Lap"
"24718","R5RBBR",2014-04-30,"OBS","OW","AME",NA,"9",NA,NA,NA,NA,NA,NA,NA,4,120,"Lap"
"24789","R5YRRR",2014-05-06,"OBS","OW","AME",NA,"9",NA,NA,NA,NA,NA,NA,NA,5,126,"Lap"
"24814","R7WWYY",2014-05-06,"OBS","OW","AME",NA,"9",NA,NA,NA,NA,NA,NA,NA,5,126,"Lap"
"24859","R7WWYY",2014-05-14,"OBS","OW","AME",NA,"9",NA,NA,NA,NA,NA,NA,NA,5,134,"Lap"
"24905","R6YBRB",2014-05-17,"OBS","OW","AME",NA,"9",NA,NA,NA,NA,NA,NA,NA,5,137,"Lap"
"24928","R7WWYY",2014-05-21,"OBS","OW","AME",NA,"9",NA,NA,NA,NA,NA,NA,NA,5,141,"Lap"
"24950","R7WWYY",2014-05-23,"OBS","OW","AME",NA,"9",NA,NA,NA,NA,NA,NA,NA,5,143,"Lap"
"25000","R7WWYY",2014-05-22,"OBS","OW","AME",NA,"9",NA,NA,NA,NA,NA,NA,NA,5,142,"Lap"
"25004","R1RWBR",2014-09-10,"OBS","WW","TER",NA,"9",NA,NA,NA,NA,NA,NA,NA,9,253,"Lap"
"25009","R6WYRY",2014-09-11,"OBS","WW","TER",NA,"9",NA,NA,NA,NA,NA,NA,NA,9,254,"Lap"
"25011","R3YYRR",2014-09-11,"OBS","WW","TER",NA,"9",NA,NA,NA,NA,NA,NA,NA,9,254,"Lap"
"25012","R7RBRB",2014-09-11,"OBS","WW","TER",NA,"9",NA,NA,NA,NA,NA,NA,NA,9,254,"Lap"
"25017","R1RWBR",2014-09-11,"OBS","WW","TER",NA,"9",NA,NA,NA,NA,NA,NA,NA,9,254,"Lap"
"25020","R4BWRW",2014-07-22,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,7,203,"Lap"
"25021","R3RRWW",2014-07-23,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,7,204,"Lap"
"25023","R4BWRW",2014-07-24,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,7,205,"Lap"
"25024","Y1RBWY",2014-07-24,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,7,205,"Lap"
"25026","L6RYLR",2014-07-24,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,7,205,"Lap"
"25027","R4BWRW",2014-07-25,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,7,206,"Lap"
"25028","R4BWRW",2014-07-26,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,7,207,"Lap"
"25032","Y1RBWB",2014-07-26,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,7,207,"Lap"
"25037","R4BWRW",2014-07-27,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,7,208,"Lap"
"25042","R4BWRW",2014-08-01,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,8,213,"Lap"
"25044","L1YLBY",2014-08-18,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,8,230,"Lap"
"25046","R4BWRW",2014-08-19,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,8,231,"Lap"
"25047","R6WYBY",2014-08-19,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,8,231,"Lap"
"25048","R6WYBY",2014-08-20,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,8,232,"Lap"
"25049","L4BRBY",2014-08-31,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,8,243,"Lap"
"25052","L1YLBY",2014-09-01,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,9,244,"Lap"
"25055","Y6YRYW",2014-09-02,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,9,245,"Lap"
"25056","L1YLBY",2014-09-02,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,9,245,"Lap"
"25058","L4LYRL",2014-09-02,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,9,245,"Lap"
"25059","L6RYLR",2014-09-02,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,9,245,"Lap"
"25063","R3BWYB",2014-09-02,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,9,245,"Lap"
"25065","L8LYRR",2014-09-04,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,9,247,"Lap"
"25066","R4BWRW",2014-09-05,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,9,248,"Lap"
"25069","R6WWYR",2014-09-05,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,9,248,"Lap"
"25076","Y7YYYW",2014-09-05,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,9,248,"Lap"
"25077","R4BWRW",2014-09-07,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,9,250,"Lap"
"25081","R7RBRB",2014-09-12,"OBS","WW","TER",NA,"9",NA,NA,NA,NA,NA,NA,NA,9,255,"Lap"
"25082","Y1YYRR",2014-09-12,"OBS","WW","TER",NA,"9",NA,NA,NA,NA,NA,NA,NA,9,255,"Lap"
"25083","R1RWBR",2014-09-12,"OBS","WW","TER",NA,"9",NA,NA,NA,NA,NA,NA,NA,9,255,"Lap"
